CaptureEventID,Animal
ASG000002q,1
ASG000008e,0
ASG00000e9,0
ASG00000ks,1
ASG00000sg,1
ASG00000sm,1
ASG00000x5,1
ASG00000z8,1
ASG000018m,0
ASG00001bi,1
ASG00001dc,1
ASG00001i6,1
ASG00001x7,0
ASG000025w,0
ASG000026k,1
ASG0000297,1
ASG00002hl,1
ASG00002pg,0
ASG00002pt,1
ASG00002q7,0
ASG00002sc,0
ASG00002t5,1
ASG00002x7,0
ASG00002zc,0
ASG00002zw,1
ASG0000324,1
ASG000034u,1
ASG0000369,1
ASG000036g,1
ASG000037s,1
ASG00003az,1
ASG00003ju,1
ASG00003le,0
ASG00003nc,0
ASG00003nf,0
ASG00003q9,0
ASG00003zf,0
ASG000046m,0
ASG0000485,0
ASG00004by,0
ASG00004cg,0
ASG00004f3,0
ASG00004fx,0
ASG00004h6,0
ASG00004ht,0
ASG00004kr,0
ASG00004rd,0
ASG00004wy,0
ASG000058v,0
ASG00005rc,0
ASG00005ru,0
ASG00005tb,0
ASG00005y1,1
ASG0000657,1
ASG00006d6,0
ASG00006kz,0
ASG00006s0,0
ASG00006xc,0
ASG000075l,0
ASG00007ef,0
ASG00007eu,1
ASG00007g5,1
ASG00007hh,1
ASG00007if,0
ASG00007iz,1
ASG00007j8,1
ASG00007kc,1
ASG00007lx,1
ASG00007mp,1
ASG00007nc,1
ASG00007o7,1
ASG00007pq,1
ASG00007qn,1
ASG00007s8,1
ASG00007wc,1
ASG00007xv,0
ASG0000804,1
ASG000080o,1
ASG00008ig,0
ASG00008lt,0
ASG00008ov,0
ASG00008u8,1
ASG00008x5,0
ASG00008xw,1
ASG00008ym,0
ASG000093d,1
ASG000098y,1
ASG00009d4,0
ASG00009ne,0
ASG00009uc,0
ASG00009vz,0
ASG00009x6,0
ASG00009y2,0
ASG0000a2h,0
ASG0000a2u,0
ASG0000a3l,0
ASG0000a4j,1
ASG0000a5u,0
ASG0000a67,1
ASG0000a68,1
ASG0000a6q,1
ASG0000a6w,1
ASG0000a75,1
ASG0000a7e,1
ASG0000a8m,0
ASG0000ae3,1
ASG0000af6,1
ASG0000afw,0
ASG0000ah7,1
ASG0000ajj,0
ASG0000b6p,0
ASG0000b75,0
ASG0000b7q,0
ASG0000bnl,0
ASG0000bq8,0
ASG0000cdu,0
ASG0000cf0,0
ASG0000cir,0
ASG0000cpd,1
ASG0000crn,0
ASG0000csg,0
ASG0000ctj,1
ASG0000cvw,0
ASG0000cxu,1
ASG0000d24,0
ASG0000d4p,0
ASG0000d8h,1
ASG0000dav,0
ASG0000dou,0
ASG0000dqz,0
ASG0000e5b,0
ASG0000e5j,0
ASG0000eav,0
ASG0000ebe,0
ASG0000ebi,0
ASG0000ecn,0
ASG0000edw,0
ASG0000em9,0
ASG0000eny,0
ASG0000etq,1
ASG0000ew3,0
ASG0000eye,0
ASG0000ezh,1
ASG0000f0m,1
ASG0000f0z,1
ASG0000f52,1
ASG0000f5k,1
ASG0000f5x,1
ASG0000fax,1
ASG0000fbs,1
ASG0000fcl,0
ASG0000fd8,1
ASG0000fde,1
ASG0000fjq,1
ASG0000flq,0
ASG0000fun,0
ASG0000fy1,0
ASG0000g0n,1
ASG0000g5z,1
ASG0000g73,0
ASG0000g88,1
ASG0000gby,1
ASG0000gdd,1
ASG0000gek,1
ASG0000ggb,0
ASG0000ggc,1
ASG0000gip,1
ASG0000gjl,1
ASG0000gms,1
ASG0000gnr,1
ASG0000gsr,1
ASG0000gu8,1
ASG0000gxg,1
ASG0000h1e,1
ASG0000h29,0
ASG0000h63,1
ASG0000h70,1
ASG0000h97,0
ASG0000ha6,0
ASG0000hdb,0
ASG0000hdz,0
ASG0000hm3,0
ASG0000i1i,1
ASG0000i7v,0
ASG0000ia2,0
ASG0000irn,0
ASG0000ivx,0
ASG0000krp,1
ASG0000ksc,1
ASG0000kun,1
ASG0000kwo,1
ASG0000lkg,0
ASG0000lp1,0
ASG0000lqq,0
ASG0000lu5,0
ASG0000lvc,0
ASG0000lw0,0
ASG0000m25,0
ASG0000ma6,0
ASG0000mop,0
ASG0000mpw,0
ASG0000mxy,0
ASG0000n39,0
ASG0000n41,0
ASG0000nbr,0
ASG0000nfy,0
ASG0000nni,0
ASG0000npc,0
ASG0000nrs,1
ASG0000nt3,0
ASG0000nxj,0
ASG0000nyq,0
ASG0000pg8,0
ASG0000pge,0
ASG0000pio,0
ASG0000pmt,0
ASG0000pou,0
ASG0000pr9,0
ASG0000psq,0
ASG0000ptr,0
ASG0000pv9,1
ASG0000pvq,1
ASG0000pzr,0
ASG0000q19,1
ASG0000qbx,0
ASG0000qdv,0
ASG0000qg1,1
ASG0000qvb,0
ASG0000qwr,0
ASG0000qzo,0
ASG0000r26,0
ASG0000r6y,0
ASG0000r6z,0
ASG0000r8j,0
ASG0000rn7,1
ASG0000rtd,1
ASG0000ryh,1
ASG0000rzr,1
ASG0000s0y,1
ASG0000s2t,1
ASG0000s3t,1
ASG0000s50,1
ASG0000s9n,0
ASG0000sdj,0
ASG0000se2,0
ASG0000sfc,0
ASG0000sko,0
ASG0000ssd,1
ASG0000ssl,0
ASG0000stm,1
ASG0000stv,1
ASG0000suo,1
ASG0000svl,1
ASG0000sys,0
ASG0000t52,0
ASG0000taz,0
ASG0000tmq,0
ASG0000tr8,0
ASG0000tsl,0
ASG0000tvq,0
ASG0000tyj,0
ASG0000u0d,0
ASG0000u33,0
ASG0000u3p,1
ASG0000uem,1
ASG0000ug4,0
ASG0000unv,1
ASG0000uqq,0
ASG0000vh0,1
ASG0000vhh,1
ASG0000vi1,1
ASG0000vm3,1
ASG0000vp0,1
ASG0000vs2,1
ASG0000vs4,1
ASG0000w1y,0
ASG0000w3z,0
ASG0000wbg,0
ASG0000wcn,0
ASG0000wg2,0
ASG0000wg4,0
ASG0000whd,0
ASG0000wp7,1
ASG0000wqu,1
ASG0000wqw,1
ASG0000wr7,1
ASG0000ws7,1
ASG0000wuq,0
ASG0000wy3,0
ASG0000wz0,0
ASG0000wzp,0
ASG0000wzt,1
ASG0000yut,0
ASG0000z8p,0
ASG0000z8q,0
ASG0000zbe,0
ASG0000zpq,0
ASG0000zw8,1
ASG0000zy2,1
ASG0000zy6,1
ASG000103s,1
ASG000103u,1
ASG0001076,0
ASG000107t,0
ASG00010ed,0
ASG00010j4,0
ASG00010m5,0
ASG00010rz,0
ASG00010t7,0
ASG00010zj,0
ASG0001152,0
ASG000115l,0
ASG000115u,0
ASG000116d,0
ASG000116u,0
ASG00011cp,0
ASG00011ei,0
ASG00011f4,0
ASG00011g8,0
ASG00011hb,0
ASG00011jt,0
ASG00011o3,0
ASG00011p9,1
ASG00011uv,1
ASG00011v0,1
ASG000120d,1
ASG000121s,1
ASG000122e,1
ASG0001233,1
ASG0001269,1
ASG0001283,1
ASG000129v,1
ASG00012ai,1
ASG00012as,1
ASG00012bk,1
ASG00012i5,0
ASG00012ks,1
ASG00012oe,0
ASG00012te,1
ASG00012um,0
ASG00012wr,1
ASG00012xv,1
ASG00012yf,1
ASG00012yh,1
ASG00012yt,1
ASG000134j,1
ASG0001363,1
ASG0001376,1
ASG000137t,1
ASG000138b,1
ASG00013bx,1
ASG00013dp,0
ASG00013g8,1
ASG00013pt,0
ASG00013q5,0
ASG00013rl,0
ASG0001466,0
ASG00014dk,0
ASG00014ei,0
ASG00014fv,0
ASG00014ih,0
ASG00014ii,0
ASG00014jb,0
ASG00014ng,0
ASG00014v5,0
ASG00014vo,0
ASG0001508,0
ASG000150v,1
ASG000153w,0
ASG0001553,0
ASG000157v,0
ASG00015cu,0
ASG00015ef,0
ASG00015k2,0
ASG00015kc,0
ASG00015ld,0
ASG00015oq,0
ASG00015tf,0
ASG00015u5,0
ASG00015yl,0
ASG0001615,0
ASG000161p,0
ASG0001625,0
ASG000163f,1
ASG00016bz,0
ASG00016cd,0
ASG00016cm,0
ASG00016k4,0
ASG00016m0,1
ASG00016oe,0
ASG00016sv,0
ASG00016td,0
ASG00016un,0
ASG000171c,0
ASG0001734,0
ASG000179b,0
ASG00017ez,0
ASG00017gb,0
ASG00017r3,1
ASG00017tq,0
ASG00017wg,1
ASG00017x8,0
ASG00017yk,0
ASG000183u,0
ASG000184q,0
ASG0001850,0
ASG000189y,0
ASG00018li,0
ASG00018pc,0
ASG00018qw,0
ASG00018qx,0
ASG00018vg,0
ASG00018wh,0
ASG00018yz,0
ASG000193a,0
ASG0001949,0
ASG00019ay,1
ASG00019iv,1
ASG00019jf,1
ASG00019ng,0
ASG00019oc,1
ASG00019ou,1
ASG00019pl,1
ASG00019r4,0
ASG00019u2,1
ASG0001a5a,0
ASG0001aab,1
ASG0001ab0,1
ASG0001ab2,1
ASG0001abu,1
ASG0001ac1,1
ASG0001ac7,1
ASG0001acv,1
ASG0001aek,1
ASG0001aer,1
ASG0001afs,1
ASG0001akd,1
ASG0001ao4,1
ASG0001aqt,1
ASG0001axw,0
ASG0001azr,0
ASG0001b8d,0
ASG0001bd3,0
ASG0001bdb,0
ASG0001bm9,0
ASG0001c1d,0
ASG0001c6u,0
ASG0001caa,0
ASG0001cbt,0
ASG0001ccf,0
ASG0001cdg,0
ASG0001cka,1
ASG0001cmq,0
ASG0001cms,1
ASG0001cs5,1
ASG0001csa,1
ASG0001cu9,1
ASG0001cua,1
ASG0001cuu,1
ASG0001cxz,1
ASG0001d0k,0
ASG0001d3a,0
ASG0001d96,0
ASG0001dd9,0
ASG0001dgh,0
ASG0001dn4,1
ASG0001dnj,1
ASG0001dqt,0
ASG0001du1,1
ASG0001dx1,1
ASG0001dx9,1
ASG0001e0k,1
ASG0001e2u,1
ASG0001e53,1
ASG0001e5d,1
ASG0001e5x,1
ASG0001e8d,0
ASG0001eb5,0
ASG0001edd,0
ASG0001ef4,1
ASG0001eig,1
ASG0001eim,1
ASG0001epe,1
ASG0001euq,1
ASG0001evg,0
ASG0001ewg,1
ASG0001ewu,0
ASG0001ex2,1
ASG0001f37,1
ASG0001f3f,1
ASG0001f4c,1
ASG0001f5l,1
ASG0001f78,0
ASG0001f9y,0
ASG0001fe1,0
ASG0001fgb,0
ASG0001fjv,1
ASG0001fki,1
ASG0001fmk,1
ASG0001fmr,1
ASG0001fox,1
ASG0001fp3,1
ASG0001fpj,1
ASG0001fst,1
ASG0001ftv,1
ASG0001fu6,0
ASG0001gfr,0
ASG0001gid,0
ASG0001gjm,0
ASG0001gpc,0
ASG0001gto,0
ASG0001h0s,0
ASG0001h58,1
ASG0001h61,1
ASG0001h7l,1
ASG0001h7m,1
ASG0001ha1,1
ASG0001hc4,1
ASG0001hg3,1
ASG0001hmr,0
ASG0001hnx,1
ASG0001hrz,1
ASG0001htf,1
ASG0001hv4,1
ASG0001hvz,1
ASG0001hxj,1
ASG0001hzt,1
ASG0001i1h,1
ASG0001i20,1
